,iso,glcode,name,lat,lon,genus,family,macroarea,country,tea,level,from
223,bdh,baka1274,Baka (in Sudan),4.83333333333,29.25,Bongo-Bagirmi,Central Sudanic,Africa,SD,,language,wals1
224,bkq,baka1277,Bakairí,-14.0,-55.0,Cariban,Cariban,South America,BR,,language,wals1
225,bri,mokp1239,Bakueri,4.25,9.25,Bantoid,Niger-Congo,Africa,CM,,language,wals1
226,bdu,orok1266,Bakundu,4.83333333333,9.33333333333,Bantoid,Niger-Congo,Africa,CM,,language,wals1
227,blw,bala1310,Balangao,17.1666666667,121.166666667,Northern Luzon,Austronesian,Papunesia,PH,,language,wals1
228,bjt,bala1300,Balanta,12.25,-15.3333333333,Northern Atlantic,Niger-Congo,Africa,SN GW,,language,wals1
229,blz,bala1315,Balantak,-0.833333333333,123.25,Celebic,Austronesian,Papunesia,ID,,language,wals1
230,wiv,bali1280,Bali-Vitu,-4.9,149.116666667,Oceanic,Austronesian,Papunesia,PG,,language,wals1
231,ban,bali1278,Balinese,-8.33333333333,115.25,Malayo-Sumbawan,Austronesian,Papunesia,ID,2 Words derived from Min Nan Chinese te,language,wals1
232,bft,balt1258,Balti,35.0,76.0,Bodic,Sino-Tibetan,Eurasia,IN PK,,language,wals1
233,bgp,east2304,Baluchi,28.0,62.0,Iranian,Indo-European,Eurasia,PK IR AF,1 Words derived from Sinitic cha,language,wals1
234,nad,nija1241,Balyku,-22.0,120.0,Western Pama-Nyungan,Pama-Nyungan,Australia,AU,,language,wals1
235,ptu,bamb1270,Bambam,-3.08333333333,119.083333333,South Sulawesi,Austronesian,Papunesia,ID,,language,wals1
236,bam,bamb1269,Bambara,12.5,-7.5,Western Mande,Mande,Africa,ML,3 Others,language,wals1
237,bax,bamu1253,Bamun,5.5,10.9166666667,Bantoid,Niger-Congo,Africa,CM,,language,wals1
238,bcw,bana1305,Bana,10.4166666667,13.5833333333,Biu-Mandara,Afro-Asiatic,Africa,CM,,language,wals1
